Brazil,USA,Australia,Greece,New Zealand,Bulgaria,Portugal,Switzerland,Spain,Canada
"[0.033160225438918126, 0.008811886312096317]","[0.043616259589222155, 0.020618556701030927]","[0.0318260066042481, 0.0005100085693497687]","[0.043035177533798936, 0.020618556701030927]","[0.038959299675529725, 0.007782345383128542]","[0.040343876329896, 0.010568722901824793]","[0.04301315465496188, 0.020618556701030927]","[0.03171541032640719, 0.0]","[0.03892306006591251, 0.0010201504771943973]","[0.038893924746329286, 0.0015224614863982317]"
"[0.02807802256854845, 0.0]","[0.030210407309696655, 0.0]","[0.019894845455170312, 0.0]","[0.030938317401627696, 0.0]","[0.02672677217527585, 0.0]","[0.032689255803316296, 0.00015822792877461596]","[0.03356063846026677, 0.0]","[0.028376041899014985, 0.0]","[0.0317407103909256, 0.0]","[0.02908477067472926, 0.0]"
"[0.04395663862278274, 0.02094730185502334]","[0.04459351203140654, 0.005955469185406834]","[0.031814738215105026, 0.0]","[0.04105967306485023, 0.0013337682672573251]","[0.039009298305065054, 0.0011837282564436985]","[0.03757523218361148, 0.0034629329884594833]","[0.04468110695522284, 0.002656986160533428]","[0.03652600529213404, 0.00047982509874548235]","[0.03657487103418441, 0.000808530103925659]","[0.042058456653483914, 0.0006574903079846541]"
"[0.04156949872772626, 0.020618556701030927]","[0.04396756050180523, 0.020618556701030927]","[0.029383756161849732, 0.0]","[0.047885003174015256, 0.020618556701030927]","[0.04222489597490965, 0.0021672196302300736]","[0.04668556146781194, 0.020618556701030927]","[0.05244316839278136, 0.020618556701030927]","[0.04068660806778405, 0.020618556701030927]","[0.046830624212057886, 0.020618556701030927]","[0.041901202130453355, 0.0014138274441121523]"
"[0.03940724766999766, 0.007782345383128542]","[0.04772605884924767, 0.020618556701030927]","[0.03637445262612724, 0.0006648391538249741]","[0.051205524818899284, 0.020618556701030927]","[0.04266073933051544, 0.0065680617290163595]","[0.04915592113390483, 0.020618556701030927]","[0.05384459788316391, 0.020886218471524744]","[0.04038240989869048, 0.0008174196775644643]","[0.05103062669327122, 0.014270114444404151]","[0.04770690095328282, 0.004947135485485475]"
"[0.042657399586166524, 0.020618556701030927]","[0.04725687379805784, 0.020618556701030927]","[0.03386271246957145, 0.00036954288691134297]","[0.04171783219766888, 0.002469878983668495]","[0.043547255535487564, 0.008495226572731916]","[0.03865408399377737, 0.020618556701030927]","[0.04608658608744668, 0.020618556701030927]","[0.04224684119269991, 0.012264818996567069]","[0.03952253608715036, 0.0006649637462908253]","[0.04049206285146, 0.0013371933182752117]"
"[0.024621591986215288, 0.0]","[0.02346177404695781, 0.0]","[0.017522577137010397, 0.0]","[0.02334727610490173, 0.0]","[0.018323425581939903, 0.0]","[0.02488128232773404, 0.0]","[0.02454180346790968, 0.0]","[0.01848318328278339, 0.0]","[0.021919398552017955, 0.0]","[0.01927788923945046, 0.0]"
"[0.03525823124265363, 0.0017509136037088526]","[0.03354329180778562, 0.0]","[0.027031675523554097, 0.0]","[0.03729853461113411, 0.00031815729835436705]","[0.031386799935364744, 0.0]","[0.03248639833377328, 0.0005703374903611839]","[0.03972459991514882, 0.0008357986052047735]","[0.03405467724971793, 0.0]","[0.033736514900105055, 0.0]",
"[0.0280555581513839, 0.0]","[0.03986881042273889, 0.0]","[0.02410416294971565, 0.0]","[0.020880735266536672, 0.0]","[0.03069352702459933, 0.0]","[0.03948986767572554, 0.00016711750241341092]","[0.046403037874300834, 0.001078425085227719]","[0.028699599692491813, 0.0]","[0.0438139685198451, 0.0]",
"[0.007958666750659812, 0.0]","[0.025546993152540238, 0.0]","[0.010799981572315378, 0.0]","[0.01519429701698389, 0.0]","[0.016672751679932023, 0.0]","[0.037516305806996594, 0.0]","[0.017853063252602722, 0.0]","[0.010992663774978624, 0.0]","[0.011691643258231363, 0.0]",
,"[0.028961621465958085, 0.007782345383128542]","[0.022622041133834835, 0.0006574903079846541]","[0.033443295226086474, 0.005053865934773843]","[0.02701437687745412, 0.012836211317902385]","[0.03630207673543243, 0.01659423169522486]","[0.033244697055247185, 0.012836211317902385]","[0.025832088721331282, 0.005053865934773843]","[0.027905020277759537, 0.0003287451539924086]","[0.02896247909613113, 0.007782345383128542]"
