,Song title,Song author,Artist country
167564,BonBon,Era Istrefi,XK
167572,World's Crashing Down,Darius & Finlay Ft. Aili Teigmo,
167574,"Wann, Wenn Nicht Jetzt",Harris & Ford Vs. Powerkryner,AT
167575,Wust Du,Wahnsinns 3,
167577,Timeless,Kamaliya,
167582,Der Himmel Uber Wien,Lemo,AT
167597,Geiles Leben,Glasperlenspiel,DE
167636,Sweet Lovin,Sigala & Bryn Christopher,GB
167644,Hand In Hand,Julian Le Play,AT
167666,Ham Kummst,Seiler & Speer,AT
167668,That's How You Know,"Nico, Vinz, Kid Ink & Bebe Rexha",US
167671,Stimme,EFF,Nashville
167672,Hulapalu,Andreas Gabalier,AT
167678,Hundred Miles,Yall & Gabriela Richardson,Barcelona
167681,Soits Lebn,Seiler & Speer,AT
167682,Show Me Love,Robin Schulz & J.U.D.G.E.,DE
167719,Jolene,BossHoss & The Common Linnets,Enschede
167723,Try Everything,Shakira,CO
167756,I Wu Ned,Seiler & Speer,AT
167763,Blind,Feder & Emmi,FR
167791,Eurotrip,"Harris, Ford & Anna Chiara",
167793,Geboren Um Dich Zu Lieben,DJ Otzi & Nik P.,AT
167801,I'll Be Around (Bounce),Elly V,
167803,Loin D'ici,Zoe Straub,AT
167835,Feuer,Mista M,
167841,Diese Nacht Ist Jede Sunde Wert,Andrea Berg,DE
167844,Avenir,Louane,FR
167917,Melodie,CRO,DE
167923,Her Soul,"Ray Watts, DJ Amato & Felicia Lu",
167924,With Arms Wide Open,Alessandro Taccini & Lisah,
167943,Glow,Lamiya,
167960,Astronaut,Sido & Andreas Bourani,DE
167999,Unstoppable,Sia,AU
168042,Lieblingsmensch,Namika,DE
168079,Wild And Free,Lena Meyer-Landrut,DE
168081,Under Pressure,Queen & David Bowie,England
168084,Leichtes Gepack,Silbermond,DE
168116,Bussi Baby,Wanda,Wien
168118,Wie Schon Du Bist,Sarah Connor,DE
168120,Herz Uber Kopf,Joris,DE
168122,Book Of Love,Felix Jaehn,DE
168194,Feiah Fonga,Krautschadl,AT
168200,Ham Kummst (Wenn Du Einmal Noch So Heim Kommst),Powerkryner,AT
168201,Oft Gefragt,AnnenMayKantereit,DE
168225,Cold,Empty Flags,
168227,I'm Alive,Kamaliya,
168272,Wenn Du Lachst,Tom Post,
168282,Schone Welt,Solarjet,AT
168314,Queen Of Lissabon,Ray Watts & G.G,AT
168322,Ich & Du,Gestort Aber Geil,DE
168351,Vergiss Mein Nicht,Solarkreis,AT
168363,So Wie Du Bist,MoTrip,DE
168399,Hallelujah,Como,US
168400,Mon Coeur A Trop Aime,Zoe,
168442,Bedingungslos,Sarah Connor,DE
168515,Supergirl,"Anna Naklab, Alle Farben & Younotus",DE
168521,How Hard I Try,Filous & James Hersey,Wien
168606,Bye Bye,CRO,DE
168613,One Way Ticket,Mista M,
168620,Holiday,DJ Antoine & Akon,SN
168651,Schrei Nach Liebe,Die Arzte,DE
168682,Schweigeminute (Traiskirchen),Raoul Haspel,AT
168696,Wir Bleiben,Bohse Onkelz,DE
168732,Jumpin' Boobs,Rene Rodrigezz & Sanny,AT
168743,Everything Is Possible,Leo Aberer,AT
168744,Wolke 4,Philipp Dittberner & Marv,DE
168779,San Francisco,Darius & Finlay Vs. Tom Borijn,AT
168819,Unter Meiner Haut,Gestort Aber Geil,DE
168857,Tanz Mit Mir,Lucky Strikes Back,Austin
168859,Tranen Aus Eis,Herzdame,
168891,Ab Geht's,DieLochis,DE
168903,Goodbye To Yesterday,Elina Born & Stig Rasta,EE
168921,Fluchtling,Thomas Stipsits,AT
168943,Mit Dir Kann I Fliaga,Bluatschink & K&K StringsÃÂ ,AT
169021,Was Wirklich Bleibt,Christina Sturmer,AT
169022,Headshotz Buckstop,Tomsta & Martin Van Lectro,AT
169023,Bist Du Real,KC Rebell,DE
169024,Auf Uns,Andreas Bourani,DE
169058,Riva (Restart The Game),Klingande & Broken Back,FR
169062,Wenn Sie Diesen Tango Hort,Wirtz,DE
169096,Auf Anderen Wegen,Andreas Bourani,DE
169097,All Of This Is You,Rose May,AT
169102,Kumm Mit Kumm Aussi,Solarkreis,AT
169104,Atemlos Durch Die Nacht,Helene Fischer,DE
169160,Mitten Unterm Jahr,Xavier Naidoo,DE
169172,Hey,Yvonne Catterfeld,DE
169184,Magnet,Solarjet,AT
169211,I Am Yours,Makemakes,AT
169223,Ackan,Sido & Dillon Cooper,US
169230,Grande Amore,Il Volo,IT
169235,A Million Voices,Polina Gagarina,RU
169239,Golden Boy,Nadav Guedj,FR
169242,A Monster Like Me,Morland & Debrah Scarlett,CH
169244,Love Injected,Aminata,LV
169247,Building Bridges,ESC Vienna All Stars,Wien
169248,Here For You,Maraaya,SI
169249,You Are Unstoppable,Conchita Wurst,AT
169277,Hero Of My Heart,Severino Seeger,
169294,Hero Of My Heart,Viviana Grisafi,
169297,Lieber So,Yvonne Catterfeld,DE
169302,Flash Mich,Mark Forster,DE
169304,Firestarter,"Darius, Finlay & Nicco",AT
169305,Givin Up,James Cottriall,
169344,Alle 100 Jahr,Hubert Von Goisern,AT
169382,700 Main St,DAT ADAM,DE
169420,Forrest,DAT ADAM,DE
169449,Mountain Man,Andreas Gabalier,AT
169464,Tagtraumen,Tagtraumer,DE
169525,Back Home,Fritz Kalkbrenner,DE
169554,Feel Alive,DAWA,Wien
169568,Quel Filou,Zoe,
169582,Wie Ein Schutzender Engel,Frei.Wild,IT
169584,Tropicali,Darius & Finlay,AT
169618,Seit A Poa Tog,Folkshilfe,Linz
169619,Montag,LionT,
169621,Heart Of Stone,Andreas Kuemmert,DE
169625,So Leicht,Lemo,AT
169665,Amoi Seg' Ma Uns Wieder,Andreas Gabalier,AT
169700,Wir Haben Noch Das Ganze Leben,Julian Le Play,AT
169713,Was Ich Nicht Hab,ApeCrime,DE
169725,Komm Mit,LionT,
169777,Leya,Thorsteinn Einarsson,AT
169796,Verliebt In Der Falsches Maedchen,Marcelo Araujo Alves,
169822,Ja,Silbermond,DE
169845,Doppelkinn,LionT,
169862,Unvergessen Unverganglich Lebenslanglich,Frei.Wild,IT
169863,Du Liebst Mich Nicht,Ado Kojo & Shirin David,DE
169887,Mein Letzter Tag,DieLochis,DE
169898,Sally,Hardwell & Harrison,NL
169902,Au Revoir,Mark Forster & Sido,DE
169932,Heroes,Conchita Wurst,AT
169939,Eclipse,Hardwell,NL
170035,Light Up,Harfonie,AT
170041,Zeit Zu Gehen,Unheilig,DE
170045,Hallelujah,Xavier Naidoo,DE
170054,Nothing Is Over,Sunrise Avenue,FI
170058,Blue Heart,Charley Ann Schmutzler,
170062,Stille Nacht,Wiener Sangerknaben,Wien
170063,Goodbye,Leo Aberer & Marco Angelini,AT
170101,And I,Darius & Finlay,AT
170162,Morgen,Herbert Groenemeyer,DE
170181,Oh My Love,Rea Garvey & Amy MacDonald,DE
170182,Amoi Seg Ma Uns Wieder,Andreas Gabalier,AT
170220,Omis Apfelstrudel,Leo Aberer,AT
170224,Open Your Eyes,Harfonie,AT
170246,Wolke 7,Max Herre,DE
170251,Aurora,Thorsteinn Einarsson,AT
170261,Your Time,Oliver Pum & Max Kuhnel,Buenos Aires
170301,Postcards,James Blunt,GB
170303,Kangaroo,Leo Aberer,AT
170306,Zuhause,Adel Tawil,DE
170315,Help Our Souls,Nihils,AT
170317,Bass Beast,Borijn,
170325,Keine Ist Wie Du,Gregor Meyle,DE
170358,Bad Chick,CRO,DE
170402,Zwischen Zeit & Raum,Nazar & Falco,AT
170404,Glick,Poxrucker Sisters,Oberösterreich
170443,Ich Will Immer Wieder Dieses Fieber Spuren,Helene Fischer,DE
170444,Love Who Loves You Back,Tokio Hotel,DE
170474,Better Where We Are,Rene Rodrigezz & Hellen Vissers,NL
170484,Relaxed,Andie Gabauer,AT
170519,Rollercoaster,Julian Le Play,AT
170520,Angel In Blue Jeans,Train,US
170524,Lass Uns Gehen,Revolverheld,DE
170553,Roadin',Taddl & Marley,JM
170564,Sinn,Tagtraumer,DE
170565,Traum,CRO,DE
170605,Mula,Taddl & Marley,JM
170635,Tick Tack,"Harris, Ford & Lisah",AT
170645,Wild's Wasser,Seer,AT
170678,Vielleicht Der Sommer,Lemo,AT
170706,We Are The Nights,Global Deejays & EnVegas,AT
170719,Netzwerk (Falls Like Rain),Klangkarussell,AT
170755,Verdammt Normal,Y-Titty,DE
170763,One Day (Vandaag),Bakermat,NL
170794,Dunkle Seite,Herzdame,
170804,Ich Lass Fur Dich Das Licht An,Revolverheld,DE
170836,Sonnenschein,DieLochis,DE
170863,One Day,Bakermat,NL
170909,Celebrate,Klangkarussell,AT
170925,Amoi Seg Ma Uns Wieder,Xavier Naidoo,DE
170941,Marathon,Helene Fischer,DE
170949,Geboren Um Dich Zu Lieben,Nik P.,AT
170951,One Of Those Days,Como,US
170955,Perfect,Psycho Village,Wien
171004,Liebe,Sido,DE
171078,United,Prince Kay One & Patrick Miller,DE
171079,The One,Aneta Sablik,PL
171152,Angels,Ray Watts & X-Ray,
171154,Keiner Ist Wie Du,Sarah Connor,DE
171158,Until It's Gone,Linkin Park,US
171180,Around The World,Rene Rodrigezz & MC Yankoo,AT
171181,Million Euro Smile,Makemakes,AT
171196,The Sun,Parov Stelar & Graham Candy,AT
171204,Hier Spricht Dein Herz,Gregor Meyle,DE
171241,Black Saturday,Mando Diao,SE
171259,Is It Right,Elaiza,DE
171266,Zieh Die Schuh' Aus,Sasha,GB
171276,Not Alone,Aram MP3,AM
171277,That's What I Am,Conchita Wurst,AT
171282,Cliche Love Song,Basim,DK
171305,Explosion In My Heart,Meltem Acikgoz,FR
171310,Sunday Lover,Gregor Meyle,DE
171316,So Liab Hob I Di,Andreas Gabalier,AT
171319,I Am Not A Millionaire,"Darius, Finlay & Jen",AT
171321,King,Kollegah,DE
171322,Mein Anker,Julian Le Play,AT
171324,Alpha,Kollegah,DE
171352,Lug Nochmal,Allessa,AT
171357,A Kind Von Dir,2erBeziehung,
171359,Isso,Mateo,DE
171365,Lieder,Adel Tawil,DE
171402,We Must Be Crazy,Milow,BE
171423,Joko Diss,Eko Fresh,DE
171442,Let Me Go,Gary Barlow,GB
171523,Hey Baby,Sean Paul,JM
171524,I'm A Freak,Enrique Iglesias & Pitbull,ES
171525,Kids (2 Finger An Den Kopf),Marteria,DE
171562,OMG!,Marteria,DE
171600,Too Far,Anna F.,AT
171642,Into The Blue,Kylie Minogue,AU
171643,Als War's Das Erste Mal,Unheilig,DE
171672,Ich Bin Blank,DieLochis,DE
171677,Rock Mi,VoXXclub,DE
171683,Let Me Go,Avril Lavigne & Chad Kroeger,CA
171705,LSD,Under Authority,
171719,Gemma Gemma,Skolka,AT
171758,Everyday Good,Irie Rocker Allstars,
171759,Juckate Fuasssohln,Weber,US
171761,Bow! (You Gotta Kick It),Tres Jolie,
171782,Aufi Obi,Die Wilden Kaiser,
171831,Gis,Horst,
171838,A Bunta Vog'l,Seiwald & Topf,
171844,Es Konnte Der Himmel Sein,Wolfgang Fruhwirth,
171878,#Nobody,James Cottriall,
171883,Nie Genug,Freiraum 5,
171914,Lifesaver,Sunrise Avenue,FI
171915,Go Gentle,Robbie Williams,GB
171919,Ruaf Mi Net An,David Blabensteiner,AT
171920,Einer Dieser Steine,Sido,DE
171924,It's My Life,Dr. Alban,SE
171941,Swing Dein Ding,ApeCrime,DE
171952,Security Check,Left Boy,AT
171960,Text Verstehen,NA15,
171990,Willst Du,Alligatoah,DE
171994,And We Danced,Macklemore & Ziggy Stardust,
171996,Manchmal Denk I No An Di,Fraulein Laut,AT
171998,Verdammt Ich Lieb Dich,Johannes Spanner,
172003,Able,Thomas David,AT
172004,Bitte Spitte Toi Lab,Farid Bang,Düsseldorf
172033,Zum Niederkniala Schea,Bluatschink,AT
172043,Victim Of Love,Leonard Pospichal & Thomas Blug,Saarbrücken
172045,"Applaus, Applaus",Sportfreunde Stiller,DE
172055,Simple Man,Andreas Kummert,DE
172059,Born To Rock,Rene Rodrigezz & PH Electro,AT
172065,The Singer,Chris Schummert,
172073,F**kin' Beautiful,Judith Van Hel,DE
172079,Silent Girl Next Door,Como,US
172084,A Light That Never Comes,Linkin Park & Steve Aoki,US
172106,River Flows In You,Yiruma,KR
172108,"Look Out, It's Christmas",Como,US
172144,Kids,Global Deejays,AT
172158,Turn It Up,Sean Paul,JM
172185,Maskerade,"Sido, Genetikk & Marsimoto",DE
172240,Engel Wie Du,Wolfgang Fruhwirth,
172250,Head Out,Thomas David,AT
172253,How Much Is A Mile,Kaiser Franz Josef,AT
172274,Feel It,Dirty Impact,AT
172278,Weit Weit Weg,Herzdame,
172281,DNA,Anna F.,AT
172283,Loved Me Back To Life,Celine Dion,CA
172318,Aschenflug,Adel Tawil,DE
172323,Keep Calm - F*** U,Prince Kay One & Emory,DE
172324,Hier Bin Ich Wieder,Sido,DE
172352,Strong Enough,"Barnes, Heatcliff & Jessica Folcker",SE
172364,Project T,"Dimitri Vegas, Like Mike & Sander Van Doorn",BE
172404,Run Boy Run,Woodkid,FR
172435,Pour Que Tu M'Aimes Encore,Celine Dion,CA
172437,Pumpin Blood,NoNoNo,SE
172438,Rich Kidz,Prince Kay One & Juh Dee,DE
172442,Other Side Of Love,Sean Paul,JM
172443,Fehlerfrei,Helene Fischer,DE
172473,Whatever,CRO,DE
172483,House Party,DJ Antoine & Mad Mark,CH
172521,Bonfire Heart,Hitsmiths,SE
172551,Suitcase,Como,US
172557,Hey Now,Martin Solveig,FR
172565,Do It,BossHoss,DE
172592,Outta Nowhere,Pitbull & Danny Mercer,US
172601,Girlfriend,Icona Pop,SE
172623,Hinterland,Casper,DE
172634,Elektrotitte (5000 Volt),Gronkh & Sarazar,DE
172642,Halt Dein Maul,Y-Titty,DE
172664,Ich Trau Mich Nicht,ApeCrime,DE
172666,Get It Right,Left Boy,AT
172677,Only One,Rene Rodrigezz & Dipl. Inch,
172685,Oh Sweet Lorraine,"Green Shoe Studio, Jacob Colgan & Fred Stobaugh",
172724,Baby It's OK,Follow Your Instinct & Alexandra Stan,
172747,Get Away,"Darius & Finlay, Jai Matt & Nicco",
172753,Giovanna,Leo Aberer,AT
172760,Brand New Day,Massari,
172764,Im Ascheregen,Casper,DE
172794,Wait For Me,Kings Of Leon,US
172802,Durchgehend Online,DieLochis,DE
172804,Megamix,R.I.O.,DE
172832,Stress Mit Grund,"Shindy, Bushido & Haftbefehl",DE
172913,Bei Meiner Seele,Xavier Naidoo,DE
172940,Stress Ohne Grund,Shindy & Bushido,DE
172949,Ain't A Party,"David Guetta, Glowinthedark & Harrison",FR
172950,Everybody,Mike Candys & Evelyn,CH
172953,Mein Herz,Beatrice Egli,CH
173023,Bilder Im Kopf,Sido,DE
173038,The Lovercall,Makemakes,AT
173054,Enjoy Your Life,"Darius, Finlay & Emanuel",AT
173061,Rock To The Beat,Darius & Finlay,AT
173062,West Coast,Coconut Records,US
173063,Back To Bed,Frenzy Foundation,
173064,V.I.P.,Prince Kay One,DE
173065,Bella Vita,DJ Antoine,CH
173066,I Couldn't Care Less,Leslie Clio,DE
173067,Zuckerpuppen,Andreas Gabalier,AT
173068,Dance Dance Dance,James Cottriall,
173069,Summer Is Here,"Darius, Finlay & Mr. Shammi",AT
173139,Am Seidenen Faden,Tim Bendzko,DE
173145,Bang Bang (Explode),"DF & S, Ceresia & Ron Carroll",
173151,She Makes Me Go,Arash & Sean Paul,SE
173179,Millionen Lichter,Christina Sturmer,AT
173192,Heartbreaker,Lisa Wohlgemuth,DE
173211,Superstar,Fresh Torge & Sandra,DE
173224,Thoughts Of A Man,Hide The Blemish,
173232,Ready Or Not,R.I.O. & U-Jean,DE
173261,Girl Like You,Jabberwalky,AT
173271,It's Okay,Psycho Village,Wien
173312,Castle Of Glass,Linkin Park,US
173344,So Low,Leo Aberer,AT
173349,Tirol,DJ Otzi,AT
173351,Crystallize,Lindsey Stirling,Los Angeles
173382,All The Time,DJane HouseKat & Rameez,DE
173385,Your Song,Ellie Goulding,GB
173392,Einmal Um Die Welt,CRO,DE
173417,A Jeda,Willee,
173422,Das Kleine Kueken Piept,Pulcino Pio,IT
173428,Love Is All I Got,Feed Me & Crystal Fighters,GB
173432,Wine And Chocolates,Theophilus London,US
173457,Neon Light,"Barnes, Heatcliff & Chris Madin",AT
173462,A Thousand Goodbyes,Experience,JP
173463,Breath,"Dirty Impact, Gordon & Doyle",AT
173501,I'm Not Scared,Parkbench Drive,
173503,Good Killers,Stupe-it,Pittsburgh
173504,Go For Gold,Andreas Gabalier,AT
173508,Drauben Vor Der Tur,Die Toten Hosen,DE
173538,This Is Nightlife,ItaloBrothers,DE
173546,Cape Of Our Hero,Volbeat,DK
173547,Dinnadaussa,Bluatschink,AT
173583,Augenbling,Seeed,DE
173666,Sky Is The Limit,DJ Antoine & Mad Mark,CH
173672,Lila Wolken,"Marteria, Yasha & Miss Platnum",Berlin
173698,Shine,Natalia Kelly,AT
173701,Glorious,Cascada,DE
173733,Wie Ein Komet,DJ Otzi,AT
173747,I Sing A Liad Fur Di,Andreas Gabalier,AT
173750,Wie Soll Ein Mensch Das Ertragen,Philipp Poisel,DE
173751,Wild Love,Rea Garvey,DE
173774,Heaven,Depeche Mode,GB
173782,Spectrum,Zedd & Matthew Koma,US
173792,Halt Dich An Mir Fest,Revolverheld & Marta Jandova,CZ
173818,Lovedrunk,J.O.E.L,US
173827,Ich Will Nur,Philipp Poisel,DE
173864,Trouble,Leona Lewis,GB
173870,Tage Wie Diese,Die Toten Hosen,DE
173871,Stardust,Lena Meyer-Landrut,DE
173894,Hello - Go With The Flow,Eva K. Anderson,AT
173961,In Love With The World,Aura Dione,DK
173965,Altes Fieber,Die Toten Hosen,DE
173966,Easy,CRO,DE
173972,Move In The Right Direction,Gossip,US
173991,Unbreakable,Nick Howard,GB
174007,Raus Aus Dem Nebel,Jean-Michel Aweh,DE
174009,Different,Robbie Williams,GB
174041,The Riddle Anthem,Jack Holiday & Mike Candys,
174043,Mein Herz Brennt,Rammstein,DE
174052,Shooting Stars & Fairy Tales,Mrs. Greenbird,Köln
174080,Fest Der Liebe,Y-Titty,DE
174091,Dynamit,Kollegah & Farid Bang,Düsseldorf
174092,Get Up,"Darius, Finlay & Nicco",AT
174169,World In Our Hands,Taio Cruz,GB
174202,Farewell,SolidTube,AT
174246,Du,CRO,DE
174249,Feel Again,OneRepublic,US
174251,Summer Jam,R.I.O. & U-Jean,DE
174318,1 Millionen,CRO,DE
174320,Philosoph,Julian Le Play,AT
174328,Schau Nicht Mehr Zuruck,Xavas,DE
174360,Free,Twin Atlantic,GB
174364,My Life Is A Party,ItaloBrothers,DE
174367,B3,Placebo,London
174406,Wine It Up,Lucenzo,FR
174407,Guardian,Alanis Morissette,CA
174439,Oh My Goodness,Olly Murs,GB
174441,Oh Love,Green Day,US
174443,Salvation,Gugabriel,
174452,Blue Velvet,Lana Del Rey,US
174467,How Do You Do! 2012,Melouria,
174486,Diese Tage,Kris & Dante Thomas,US
174489,Wien - Berlin,Keiner Mag Faustmann,AT
174492,Von Allein,Culcha Candela,DE
174526,Nothing Lasts Forever,Michael Mind Project & Dante Thomas,
174527,Putzibar,Ungebleicht,
174532,Like Wild Horses,Junior,GB
174562,Donnersong (Thunder Buddies),Brisby & Jingles ft. DJ D.M.H,
174570,Ma Cherie,DJ Antoine,CH
174610,Du Bist Es,DJ Otzi,AT
174642,Rayos De Sol,Jose De Rico & Henry Mendez,ES
174667,Donnersong,DJ D.M.H & Rob Miloo,
174690,Hands In The Air,Timbaland & Ne-Yo,US
174730,Phenomenon,"Darius, Finlay & Tony T.",AT
174751,Der Letzte Sommer,Y-Titty,DE
174792,Sunshine (fly So High),Mike Candys & Sandra Wild,CH
174796,The Rhythm Of The Night,Cascada,DE
174807,What You Mean,Leonard Pospichal & Robert Marcello,AT
174810,There She Goes,Taio Cruz,GB
174812,M&F,Die Arzte,DE
174847,Come Alive,Netsky,BE
174848,Infinity 2012,Guru Josh,GB
174887,2012 (If The World Would End),"Mike Candys, Evelyn & Patrick Miller",CH
174891,Mr. Spielberg,Julian Le Play,AT
174922,Endless Summer,Oceana,DE
174928,Leider Geil,Deichkind,DE
174967,Feeling So Blue,Michael Mind Project & Dante Thomas,
174969,Not All About The Money,Timati & La La Land,GB
174972,Don't Gimme That,BossHoss,DE
175007,Perfect World,Gossip,US
175011,Dancing In London,Patrick Miller,
175012,Am Lech Entlang,Bluatschink,AT
175051,Forever,Medina,DK
175120,Do It All Night 2K12,Darius & Finlay,AT
175125,My Party,DJane HouseKat & Rameez,DE
175127,Absolutely Right,Daniele Negroni,
175154,Emmanuel,Mission Arise,SE
175170,Party For Everybody,Buranovskiye Babushki,RU
175172,Standing Still,Roman Lob,DE
175198,Don't Think About Me,Luca Hanni,CH
175201,Woki Mit Deim Popo,Trackshittaz,AT
175239,Forgive Forget,Caligola,SE
175243,Friends,Aura Dione,DK
175247,Silhouettes,Avicii,SE
175249,Don't Think About Me,Daniele Negroni,
175369,Summer Of Love,Cascada,DE
175402,The Way I Like It,Mandy Capristo,DE
175406,Eiserner Steg,Philipp Poisel,DE
175409,Do You Like What You See,Ivy Quainoo,DE
175446,Willkommen In Osterreich,Ungebleicht,
175447,So Wie Du Warst,Unheilig,DE
175449,Heart Skips A Beat,Olly Murs,GB
175452,Buck Dich Hoch,Deichkind,DE
175484,Gambling Man,Overtones,US
175492,Wildes Ding,Culcha Candela,DE
175526,Himmel Auf,Silbermond,DE
175529,Anti-Hero (Brave New World),Marlon Roudette,GB
175563,Shake 3x,"Rene Rodrigezz, DJ Antoine & MC Yankoo",AT
175570,Diggin' In The Dirt,Stefanie Heinzmann,CH
175571,Bedroom,"Redd, Qwote & Pitbull",HT
175605,Lullaby,Nickelback,CA
175632,zeiDverschwAndung,Die Arzte,DE
175647,Stand Up,James Cottriall,
175691,Brenna Tuats Guat,Hubert Von Goisern,AT
175729,Smile,James Cottriall,
175730,Schatzi Schenk Mir Ein Foto,Mickie Krause,DE
175762,Carry Me Home,Michael Schulte,DE
175766,One Moment In Time,Whitney Houston,US
175769,Haunted,Kim Sanders,US
175771,Dach Der Welt,Max Giesinger,DE
175802,Somebody That I Used To Know,Walk Off The Earth,CA
175807,Wenn Worte Meine Sprache Waren,Tim Bendzko,DE
175808,One Night In Ibiza,"Mike Candys, Evelyn & Patrick Miller",CH
175812,Geronimo,Aura Dione,DK
175840,Colour Me In,Rea Garvey,DE
175842,Hate Train,Metallica,US
175847,Somebody That I Used To Know,Sharron Levy,AT
175850,Every Breath,DJ Antoine,CH
175851,Marry The Night,Lady Gaga,US
175879,Club Rocker,Inna,RO
175892,Geboren Um Frei Zu Sein,Sido,DE
175916,Up,James Morrison,GB
175922,Antidote,Swedish House Mafia & Knife Party,SE
175951,T.H.E. (The Hardest Ever),"Will.i.am, Mick Jagger & Jennifer Lopez",GB
175960,Papi,Jennifer Lopez,US
175963,Nur Noch Kurz Die Welt Retten,Tim Bendzko,DE
175971,Ich Kenne Nichts,RZA & Xavier Naidoo,DE
176047,Hallelujah,Bon Jovi,US
176063,Widewidewitt Bum Bum,Melanie Drack & Leonard,
176065,Nur In Meinem Kopf,Andreas Bourani,DE
176091,Power To The People,Fii,
176119,I'm Here,David Pfeffer,DE
176127,Ring The Bell,DJ Otzi,AT
176128,Erwachsen Sein,23,DE
176165,Mein Land,Rammstein,DE
176167,Komm Grosser Schwarzer Vogel,Ludwig Hirsch,AT
176205,Sweet Little Rehlein,Andreas Gabalier,AT
176208,Wir Sind Am Leben,Rosenstolz,DE
176239,The Key To Be Free,Christine Hodl,AT
176244,Unbreakable,Conchita Wurst,AT
176248,My Heart Is Broken,Evanescence,US
176249,It's Got To Be Today,Christine Hodl,AT
176250,Schlechtes Vorbild,Sido,DE
176251,Je Veux,Zaz,FR
176274,Der Schoenste Tag,Lydia Denker,AU
176278,Hungry Eyes,Culcha Candela,DE
176280,Body Groove,Leonard & Dawn,US
176290,A Wahnsinn Mit Dir,Dominik Ofner,AT
176323,Do It Baby,Leonard & Dr. Mabuse,
176325,I Find Di Einfoch Schee,Bernhard Reider,
176328,Set My Sail,Nihils,AT
176330,Oida Chueueue,Trackshittaz,AT
176351,Waka Waka,Chiara Kerper,
176362,Tik Tok,Chiara Kerper,
176365,Aura,Kool Savas,DE
176366,Molotov/Wonderful Life,Seeed,DE
176369,Still,Jupiter Jones,DE
176409,She's Always A Woman,Billy Joel,US
176410,So Mach Ich Es,23,DE
176412,Free,Natalia Kills,GB
176451,Jona Vark,Gypsy & The Cat,AU
176487,Miracle Worker,Superheavy,US
176488,Little In The Middle,Milow,BE
176523,Au Revoir,Cascada,DE
176571,Brighter Than The Sun,Colbie Caillat,US
176601,Collide,Leona Lewis,GB
176686,Think About It,Melanie C,GB
176691,I Don't Dance,Sunrise Avenue,FI
176759,I Sing A Liad Fur Dich,DJ Otzi,AT
176770,Way Back Home,Bag Raiders,AU
176802,Tanz,Cassandra Steen,DE
176807,Pocketful Of Sunshine,Natasha Bedingfield,GB
176810,Hi-A Ma (Pata Pata),Milk & Sugar,DE
176812,Hollywood Hills,Sunrise Avenue,FI
176841,So Perfekt,Casper,DE
176842,Zieh Dich An Und Geh,Nockalm Quintett,AT
176883,Weightless,Laserkraft 3D,DE
176885,Here Comes The Night,Darius & Finlay,AT
176888,I Miss You,Sarah Engels & Pietro Lombardi,DE
176922,Angeline,Groove Coverage,DE
176928,Loving You Is Killing Me,Aloe Blacc,US
176929,Sinead,Within Temptation,NL
176930,The Story,Carlile Brandi,US
176964,Call My Name,Pietro Lombardi,DE
176969,Could It Be You,Brandyn H*wood Bordeaux,
176970,I'm Always Here,Dirty Impact & Royal XTC,
176971,Still Rave About You,Ava Rocks,
176996,By Your Side,James Cottriall,
177006,Grullarei,Trackshittaz,AT
177086,Lipstick,Jedward,IE
177092,I Am From Austria,Rainhard Fendrich,AT
177130,Strobo Pop,Die Atzen Frauenarzt & Nena,DE
177166,I Can,Blue,GB
177168,Put Your Hands Up,Kylie Minogue,AU
177204,Down,Pietro Lombardi,DE
177207,Que Sera Sera,Pietro Lombardi,DE
177208,I Do,Colbie Caillat,US
177230,The Only One,Scooter,DE
177237,Call My Name,Sarah Engels,DE
177242,Mirrors,Natalia Kills,GB
177246,Bon Bon,Pitbull,US
177259,The Secret Is Love,Nadine Beiler,AT
177268,Taken By A Stranger,Lena Meyer-Landrut,DE
177272,Running Scared,Ell & Nikki,AZ
177279,Popular,Eric Saade,SE
177290,Madness Of Love,Raphael Gualazzi,IT
177319,Stay,Hurts,GB
177320,Ein Stern Der Deinen Namen Tragt,Nik P.,AT
177350,Outrun The Sun,MadCon,NO
177361,Wie Ein Lowe,Bushido,DE
177366,I Will Be Here,Eva K. Anderson,AT
177396,Vergiss Mich,Bushido & J-luv,DE
177403,Berlin City Girl,Culcha Candela,DE
177404,Telling The World,Taio Cruz,GB
177405,Paper Aeroplane,Angus & Julia Stone,AU
177410,There Will Never Be Another You,Leo Aberer & Patricia Kaiser,AT
177444,She's Got Nothing On,Roxette,SE
177474,If You Stayed,Menowin,DE
177489,Paris Paris,Klimmstein & Joe Sumner,AT
177565,Burning In The Skies,Linkin Park,US
177566,Freak,Klaas & Bodybangers,DE
177607,Oida Taunz!,Trackshittaz,AT
177645,Should Have Let You Love Me,Cornelia Mooswalder,
177690,Killalady,Trackshittaz,AT
177717,Good To Be Bad,Charlee,US
177719,10 Sekunden Gluck,Band WG,
177768,Winter,Unheilig,DE
177769,Guuugarutz,Trackshittaz,AT
177795,Meine Sonne,Massimo Schena,
177806,In Mir Zuhaus,Sara Nardelli,
177843,Schiffsverkehr,Herbert Groenemeyer,DE
177846,Hawaraheisl,Trackshittaz,AT
177847,Born Free,Kid Rock,US
177848,Geboren Um Zu Leben,Unheilig,DE
177875,Beautiful World,Jonathan Reiner,AT
